	shannon	simpson	chao1	PD_whole_tree
SRR040709	7.5482481149	0.9873895	785.696202532	18.99099
SRR040710	7.99329863415	0.9926845	836.450549451	19.56625
SRR040711	8.71654388073	0.995794	1019.27272727	25.83034
SRR040712	7.17673220683	0.9871335	612.238095238	15.67947
SRR040713	5.25967200285	0.94141	217.526315789	8.20188
SRR040714	5.04103654327	0.9300965	118.0	4.85202
SRR040715	4.13601335343	0.9159855	148.896551724	6.1656
SRR040716	8.04411336731	0.992845	744.142857143	18.89802
SRR040717	6.40621597493	0.9812275	554.545454545	11.11262
SRR040718	6.18956111233	0.979519	260.047619048	6.33425
SRR040719	7.95711550514	0.989731	1008.63392857	24.35985
SRR040720	7.629437879	0.9909005	717.438356164	18.73525
SRR040721	7.26257174654	0.985888	532.136986301	13.79464
SRR040722	8.08770349947	0.992962	839.76	21.51105
SRR040723	7.24441459156	0.9853165	492.875	12.47815
SRR040724	6.30307748649	0.9540925	445.163934426	12.74188
SRR040725	8.04781392149	0.9890105	794.129310345	20.75942
SRR040726	7.59513890346	0.988791	622.0	16.91564
SRR040727	8.33672555892	0.9948555	799.25	17.13193
SRR040728	7.48828336067	0.9899945	780.2	17.8935
SRR040729	5.04582775487	0.9427115	150.176470588	6.18849
SRR040730	8.30085162081	0.993705	908.508064516	20.30592
SRR040731	8.06227906586	0.991437	1119.44329897	22.19629
SRR040732	6.8327869624	0.980948	787.282608696	17.41301
SRR040733	8.25674125382	0.992241	830.125	21.7002
SRR040734	5.01973164326	0.938806	219.555555556	7.58096
